iter	MAE
0	0.4833927062
1	0.4657427247
2	0.4490154571
3	0.4341274633
4	0.4200360427
5	0.4061018519
6	0.3932814479
7	0.3808724593
8	0.369306154
9	0.3581593611
10	0.3480313782
11	0.3382650171
12	0.3298874953
13	0.3218113202
14	0.3143035413
15	0.3070372972
16	0.3005649043
17	0.2942835694
18	0.2884582103
19	0.2830166884
20	0.2778371662
21	0.2729795782
22	0.2686927503
23	0.2647396366
24	0.2608842758
25	0.2570769469
26	0.253855296
27	0.2508521796
28	0.2479530456
29	0.2449407144
30	0.2422487667
31	0.2400667764
32	0.2380135606
33	0.2356828545
34	0.2337463496
35	0.2317235057
36	0.2300541294
37	0.2282850098
38	0.2266504985
39	0.2250202727
40	0.2235300711
41	0.2222162042
42	0.2208912806
43	0.2196185921
44	0.2182986813
45	0.2171819243
46	0.2161779996
47	0.2151972194
48	0.2144322299
49	0.2135897348
50	0.2129289752
51	0.2121083
52	0.2115810377
53	0.2108128823
54	0.2101289238
55	0.2092552517
56	0.2087084496
57	0.2080852692
58	0.2075085787
59	0.2069674093
60	0.206385269
61	0.2059154771
62	0.2054981716
63	0.2051062596
64	0.2046558982
65	0.2041232403
66	0.2036934923
67	0.2033166484
68	0.2029992085
69	0.2026225163
70	0.2021524282
71	0.2018699671
72	0.2016234931
73	0.2012420151
74	0.2009414208
75	0.2006902644
76	0.200381731
77	0.2000970359
78	0.1997161761
79	0.199407771
80	0.1991338398
81	0.1988630448
82	0.1986166458
83	0.1983652168
84	0.198154153
85	0.1979654448
86	0.197755123
87	0.1975349216
88	0.197312422
89	0.1971221797
90	0.1968229914
91	0.1966723513
92	0.1964621884
93	0.1963177143
94	0.1961215581
95	0.1958953084
96	0.1957041957
97	0.1955093231
98	0.1953629445
99	0.1951277316
