,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Varanda,DETAIL_Área de serviço,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste,UTILS,PRICE
0,67,3,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,470,260000.0
1,66,3,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,250,239990.0
2,56,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,302,310000.0
3,85,3,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1170,620000.0
4,47,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,690,209900.0
5,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,130000.0
6,86,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,231,530000.0
7,57,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,359000.0
8,138,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,553000.0
9,67,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,151,220000.0
10,65,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,220000.0
11,78,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,290000.0
12,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,135000.0
13,44,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255000.0
14,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,200000.0
15,44,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259000.0
16,80,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,450000.0
17,80,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,450000.0
18,68,3,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,150,160000.0
19,80,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,450000.0
20,81,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,450000.0
21,93,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,630000.0
22,54,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,386,215000.0
23,60,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,188000.0
24,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000.0
25,66,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,249300.0
26,255,3,3,4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,700,1200000.0
27,43,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,184000.0
28,43,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,187000.0
29,43,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167000.0
30,43,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,182000.0
31,61,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,535,245000.0
32,150,3,3,4,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1600000.0
33,66,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,219510.0
34,60,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289000.0
35,106,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,220,450000.0
36,86,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,231,530000.0
37,84,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,596,280000.0
38,68,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,251,239000.0
39,42,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261569.0
40,200,4,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,250,1378000.0
41,54,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,235000.0
42,65,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,200000.0
43,90,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,401,538450.0
44,52,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,179080.0
45,52,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,292000.0
46,68,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,198330.0
47,67,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,184990.0
48,67,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,251,289990.0
49,56,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,314230.0
50,160,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,694590.0
51,160,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,799230.0
52,70,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,274470.0
53,130,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,669450.0
54,140,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,479230.0
55,78,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,660,235000.0
56,48,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,224220.0
57,123,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,539200.0
58,98,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,449720.0
59,83,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,334580.0
60,150,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,527710.0
