,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Quarto de serviço,DETAIL_Varanda,DETAIL_Área de serviço,PRICE,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste
0,350,120,67,3,2,1,0,0,1,1,0,0,0,0,0,1,260000.0,False,False,False,False,False,False,False,False
1,250,0,66,3,1,1,0,0,1,1,0,0,0,0,0,1,239990.0,False,False,False,False,False,False,False,False
2,300,2,56,2,1,1,0,0,0,0,0,0,0,0,0,1,310000.0,False,False,False,False,False,False,False,False
3,900,270,85,3,2,2,0,0,0,0,1,0,1,0,0,0,620000.0,False,False,False,False,False,False,False,False
4,290,400,47,2,1,1,0,0,0,0,0,1,0,0,0,1,209900.0,False,False,False,False,False,False,False,False
5,207,1,45,2,1,1,0,0,0,0,0,0,0,0,0,0,130000.0,False,False,False,False,False,False,False,False
6,230,1,86,3,2,1,0,0,0,0,0,0,0,0,1,1,530000.0,False,False,False,False,False,False,False,False
7,170,98,57,2,2,1,0,0,0,0,0,0,0,0,0,0,359000.0,False,False,False,False,False,False,False,False
8,180,0,138,4,2,1,0,0,0,0,0,0,0,0,0,0,553000.0,False,False,False,False,False,False,False,False
9,150,1,67,2,1,1,0,0,0,0,0,0,0,0,0,1,220000.0,False,False,False,False,False,False,False,False
10,75,1,65,3,1,1,0,0,0,0,0,0,0,0,0,0,220000.0,False,False,False,False,False,False,False,False
11,50,1,78,3,1,2,0,0,0,0,0,0,0,0,0,0,290000.0,False,False,False,False,False,False,False,False
12,180,0,45,2,1,1,0,0,0,0,0,0,0,0,0,0,135000.0,False,False,False,False,False,False,False,False
13,0,0,44,2,1,1,0,0,0,0,0,0,0,0,0,0,255000.0,False,False,False,False,False,False,False,False
14,200,1,50,2,1,1,0,0,0,0,0,0,0,0,0,0,200000.0,False,False,False,False,False,False,False,False
15,0,0,44,2,1,1,0,0,0,0,0,0,0,0,0,0,259000.0,False,False,False,False,False,False,False,False
