iter	Passed	Remaining
0	148	14750
1	151	7423
2	154	4981
3	156	3759
4	159	3022
5	161	2529
6	163	2174
7	166	1910
8	168	1704
9	170	1536
10	173	1401
11	175	1286
12	177	1189
13	180	1106
14	182	1034
15	185	971
16	187	914
17	189	864
18	192	818
19	194	777
20	197	741
21	199	707
22	202	676
23	204	648
24	207	622
25	209	597
26	212	573
27	214	551
28	216	531
29	219	511
30	221	493
31	224	476
32	226	459
33	228	444
34	231	429
35	233	415
36	236	402
37	238	389
38	241	377
39	243	365
40	246	354
41	248	343
42	251	333
43	253	323
44	256	313
45	258	303
46	261	294
47	263	285
48	266	277
49	268	268
50	271	260
51	273	252
52	276	244
53	278	237
54	281	230
55	283	223
56	286	216
57	289	209
58	291	202
59	293	195
60	296	189
61	298	183
62	301	176
63	303	170
64	306	164
65	308	159
66	311	153
67	313	147
68	316	142
69	318	136
70	320	131
71	323	125
72	325	120
73	328	115
74	330	110
75	333	105
76	335	100
77	338	95
78	340	90
79	342	85
80	345	81
81	348	76
82	350	71
83	352	67
84	355	62
85	357	58
86	360	53
87	362	49
88	365	45
89	367	40
90	370	36
91	372	32
92	375	28
93	377	24
94	379	19
95	382	15
96	384	11
97	387	7
98	389	3
99	392	0
