TITLE,LINK,DATE_SCRAPE,CITY,CEP,NEIGHBORHOOD,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,APARTMENT_DETAILS,PRICE,REGION
Venda Apartamento 3 quartos São Geraldo Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-sao-geraldo-belo-horizonte-1178452873,2023-08-05,Belo Horizonte,31050640,São Geraldo,R$ 550,R$ 135,75m²,3,2,2,"Academia, Piscina, Varanda",550000,zona_leste
Apartamento à venda no Santa Efigênia,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-no-santa-efigenia-1178452487,2023-08-05,Belo Horizonte,30150320,Santa Efigênia,R$ 0,R$ 0,66m²,2,2,2,"Academia, Área de serviço, Churrasqueira, Piscina, Varanda",990000,zona_leste
Venda Apartamento 3 quartos São Geraldo Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-sao-geraldo-belo-horizonte-1178418937,2023-08-05,Belo Horizonte,31050640,São Geraldo,R$ 550,R$ 135,75m²,3,2,2,"Academia, Piscina, Varanda",550000,zona_leste
"Apartamento à Venda - Boa Vista, 2 Quartos,  118 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-boa-vista-2-quartos-118-m2-1178416110,2023-08-05,Belo Horizonte,31060460,Boa Vista,R$ 0,R$ 0,118m²,2,3,2,Varanda,540000,zona_leste
"Apartamento à Venda - Boa Vista, 2 Quartos,  56 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-boa-vista-2-quartos-56-m2-1178416112,2023-08-05,Belo Horizonte,31060460,Boa Vista,R$ 0,R$ 0,56m²,2,2,1,Varanda,320400,zona_leste
"Apartamento Garden com 3 dormitórios à venda, 75 m² por R$ 530.000,00 - Pompéia - Belo Hor",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-garden-com-3-dormitorios-a-venda-75-m-por-r-530-000-00-pompeia-belo-hor-1178384728,2023-08-05,Belo Horizonte,30280370,Pompéia,R$ 222,R$ 0,75m²,3,2,1,N/A,530000,zona_leste
"Apartamento à Venda - Nova Vista, 2 Quartos,  116 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-nova-vista-2-quartos-116-m2-1178204910,2023-08-05,Belo Horizonte,31070080,Nova Vista,R$ 220,R$ 100,116m²,2,1,1,"Churrasqueira, Varanda",450000,zona_leste
Lançamento a venda Bairro Casa Branca,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/lancamento-a-venda-bairro-casa-branca-1178124908,2023-08-05,Belo Horizonte,31050030,Casa Branca,R$ 0,R$ 0,126m²,2,2,1,N/A,368300,zona_leste
Lançamento a venda Bairro Casa Branca,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/lancamento-a-venda-bairro-casa-branca-1178123859,2023-08-05,Belo Horizonte,31050030,Casa Branca,R$ 0,R$ 0,105m²,3,2,2,N/A,427900,zona_leste
Apartamento tipo.,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-tipo-1178045028,2023-08-05,Belo Horizonte,30285680,Saudade,R$ 0,R$ 0,61m²,3,2,1,"Área de serviço, Varanda",275000,zona_leste
Excelente Área Privativa,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/excelente-area-privativa-1178044668,2023-08-05,Belo Horizonte,30280220,Esplanada,R$ 250,R$ 900,60m²,2,3,1,Área de serviço,556000,zona_leste
Venda Apartamento 3 quartos Sagrada Família Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-sagrada-familia-belo-horizonte-1178003713,2023-08-05,Belo Horizonte,31030080,Sagrada Família,R$ 230,R$ 107,78m²,3,2,1,N/A,355000,zona_leste
Venda Apartamento 3 quartos Horto Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-horto-belo-horizonte-1177991790,2023-08-05,Belo Horizonte,31030072,Horto,R$ 300,R$ 203,73m²,3,2,2,N/A,558000,zona_leste
"Apartamento à venda, 3 quartos, 1 suíte, 2 vagas, Sagrada Família - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-3-quartos-1-suite-2-vagas-sagrada-familia-belo-horizonte-mg-1177985701,2023-08-05,Belo Horizonte,31030420,Sagrada Família,R$ 300,R$ 1.978,170m²,3,2,2,"Área de serviço, Varanda",500000,zona_leste
BELO HORIZONTE - Apartamento Padrão - Paraíso,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-paraiso-1177980609,2023-08-05,Belo Horizonte,30270260,Paraíso,R$ 250,R$ 110,88m²,3,3,1,Área de serviço,300000,zona_leste
"Apartamento à Venda - Santa Efigênia, 1 Quarto,  44 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-santa-efigenia-1-quarto-44-m2-1177978765,2023-08-05,Belo Horizonte,30140001,Santa Efigênia,R$ 800,R$ 152,44m²,1,1,1,Varanda,380000,zona_leste
"Apartamento em Ana Lúcia - Sabará, MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-em-ana-lucia-sabara-mg-1177969289,2023-08-05,Belo Horizonte,31070060,Nova Vista,R$ 300,R$ 50,70m²,3,1,1,Área de serviço,310000,zona_leste
"Apartamento em Ana Lúcia - Sabará, MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-em-ana-lucia-sabara-mg-1177963615,2023-08-05,Belo Horizonte,31070060,Nova Vista,R$ 300,R$ 50,70m²,3,1,1,Área de serviço,310000,zona_leste
"Apartamento Garden com 3 dormitórios à venda, 138 m² por R$ 799.000,00 - Sagrada Família -",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-garden-com-3-dormitorios-a-venda-138-m-por-r-799-000-00-sagrada-familia-1177958932,2023-08-05,Belo Horizonte,31030220,Sagrada Família,R$ 530,R$ 0,139m²,3,3,2,N/A,799000,zona_leste
