titulo,link,date
Apartamento 2 quartos ,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-2-quartos-1197556841,2023-08-04 14:28:41.047543
"Linda cobertura com jacuzzi, armários, elevador e 2 vagas",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-2-quartos-1197556841,2023-08-04 14:28:41.047543
Venda Residential / Apartment Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/linda-cobertura-com-jacuzzi-armarios-elevador-e-2-vagas-1216483671,2023-08-04 14:28:41.047543
EXCELENTE APARTAMENTO  LETICIA,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/linda-cobertura-com-jacuzzi-armarios-elevador-e-2-vagas-1216483671,2023-08-04 14:28:41.047543
Vendo apartamento ,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-residential-apartment-belo-horizonte-mg-1218516056,2023-08-04 14:28:41.047543
"Apartamento com 2 Quartos à venda, 60 m² por R$ 259.000 - Letícia - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-residential-apartment-belo-horizonte-mg-1218516056,2023-08-04 14:28:41.047543
"Área Privativa em ""U"" grande oportunidade ",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/excelente-apartamento-leticia-1218502380,2023-08-04 14:28:41.047543
Apartamento muito bem localizado todo reformado oportunidade,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/excelente-apartamento-leticia-1218502380,2023-08-04 14:28:41.047543
EXCELENTE  APARTAMENTO  ÁREA PRIVATIVA LETICIA,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/vendo-apartamento-1218492209,2023-08-04 14:28:41.047543
"Apartamento Garden com 2 dormitórios à venda, 62 m² por R$ 356.000,00 - Parque Copacabana ",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/vendo-apartamento-1218492209,2023-08-04 14:28:41.047543
"Apartamento com 2 dormitórios à venda, 49 m² por R$ 270.000,00 - Parque Copacabana - Belo ",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-quartos-a-venda-60-m-por-r-259-000-leticia-belo-horizonte-mg-1198123424,2023-08-04 14:28:41.047543
"Cobertura com 3 quartos à venda, 120 m² por R$ 550.000 - São João Batista (Venda Nova) - B",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-quartos-a-venda-60-m-por-r-259-000-leticia-belo-horizonte-mg-1198123424,2023-08-04 14:28:41.047543
